model_id,metric,source_name,source_url,source_type,measurement_date,retrieval_date,notes
kimi-k3,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/kimi-k3/providers,independent_evaluation,NA,2026-08-16,Raw value 3.46307208600004; AA default reasoning configuration; Kimi first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Frozen policy accepts AA default reasoning configuration when exact model and first-party provider are identified; no named effort is inferred; content hash 52bb127a27b636b40d1fdd25142b2269edaec8f1a8868c627c5955c2c4dd810d.
kimi-k3,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/kimi-k3/providers,independent_evaluation,NA,2026-08-16,Raw value 39.4660292942798; AA default reasoning configuration; Kimi first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Frozen policy accepts AA default reasoning configuration when exact model and first-party provider are identified; no named effort is inferred; content hash 52bb127a27b636b40d1fdd25142b2269edaec8f1a8868c627c5955c2c4dd810d.
kimi-k3,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/kimi-k3/providers,independent_evaluation,NA,2026-08-16,Raw value 66.8086896893993; AA default reasoning configuration; Kimi first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Frozen policy accepts AA default reasoning configuration when exact model and first-party provider are identified; no named effort is inferred; content hash 52bb127a27b636b40d1fdd25142b2269edaec8f1a8868c627c5955c2c4dd810d.
gpt-5.6-sol,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-6-sol/providers,independent_evaluation,NA,2026-08-16,Raw value 142.428721224; max reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact configuration identified as max; content hash f9bf119beb7d3481c412a16ae629e250c0f0e111a80eaef0ef9268954d752e30.
gpt-5.6-sol,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-6-sol/providers,independent_evaluation,NA,2026-08-16,Raw value 73.7378119009507; max reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact configuration identified as max; content hash f9bf119beb7d3481c412a16ae629e250c0f0e111a80eaef0ef9268954d752e30.
gpt-5.6-sol,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-6-sol/providers,independent_evaluation,NA,2026-08-16,Raw value 149.209502848923; max reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact configuration identified as max; content hash f9bf119beb7d3481c412a16ae629e250c0f0e111a80eaef0ef9268954d752e30.
claude-fable-5,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-fable-5/providers,independent_evaluation,NA,2026-08-16,Raw value 99.0035255999999; Adaptive Reasoning; Max Effort; Opus 4.8 Fallback; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: fallback can mix model identity and routing frequency is not separated; content hash e21cd48487701849823a638201eacd5083106ee0ab52131a2f23875b0724835a.
claude-fable-5,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-fable-5/providers,independent_evaluation,NA,2026-08-16,Raw value 68.5385992684221; Adaptive Reasoning; Max Effort; Opus 4.8 Fallback; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: fallback can mix model identity and routing frequency is not separated; content hash e21cd48487701849823a638201eacd5083106ee0ab52131a2f23875b0724835a.
claude-fable-5,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-fable-5/providers,independent_evaluation,NA,2026-08-16,Raw value 106.298684902013; Adaptive Reasoning; Max Effort; Opus 4.8 Fallback; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Supplementary only: fallback can mix model identity and routing frequency is not separated; content hash e21cd48487701849823a638201eacd5083106ee0ab52131a2f23875b0724835a.
claude-opus-4.8,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-opus-4-8/providers,independent_evaluation,NA,2026-08-16,Raw value 24.7381887305; Adaptive Reasoning; Max Effort; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact adaptive/max configuration and first-party provider identified; content hash d07a0aba2efc881394e8a3746518ee4baa2877ed2262915c09002789895d64f7.
claude-opus-4.8,output_speed_tokens_per_second,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-opus-4-8/providers,independent_evaluation,NA,2026-08-16,Raw value 61.0632695191376; Adaptive Reasoning; Max Effort; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact adaptive/max configuration and first-party provider identified; content hash d07a0aba2efc881394e8a3746518ee4baa2877ed2262915c09002789895d64f7.
claude-opus-4.8,total_latency_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/claude-opus-4-8/providers,independent_evaluation,NA,2026-08-16,Raw value 32.9264171686005; Adaptive Reasoning; Max Effort; Anthropic first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact adaptive/max configuration and first-party provider identified; content hash d07a0aba2efc881394e8a3746518ee4baa2877ed2262915c09002789895d64f7.
gpt-5.5,ttft_seconds,Artificial Analysis API Provider Performance Benchmarking,https://artificialanalysis.ai/models/gpt-5-5/providers,independent_evaluation,NA,2026-08-16,Raw value 48.4270293085; xhigh reasoning; OpenAI first-party; 10k input tokens; single prompt; P50 rolling 72h; standardized 500-token E2E; Exact xhigh configuration identified; deprecated lifecycle label does not invalidate cutoff-date data; content hash 0890f1b0285bf64bafb867c74481ede962df8c9a34cbfb18bd08cb1ee435a15d.
